Fecha,Cliente,Producto,Cantidad,PrecioUnitario,Total
2025-10-09,Lucía Torres,Audífonos Bluetooth,2,799.28,1598.56
2025-10-09,Luis Hernández,Audífonos Bluetooth,1,1375.65,1375.65
2025-10-29,Pedro Díaz,Audífonos Bluetooth,4,1317.88,5271.52
2025-10-08,María López,Audífonos Bluetooth,1,420.1,420.1
2025-10-08,Lucía Torres,Audífonos Bluetooth,1,621.21,621.21
2025-10-10,Diana Romero,Audífonos Bluetooth,4,357.47,1429.88
2025-10-20,María López,Audífonos Bluetooth,1,1089.11,1089.11
2025-10-13,Diana Romero,Audífonos Bluetooth,3,1111.0,3333.0
2025-10-03,Carlos Pérez,Audífonos Bluetooth,4,836.14,3344.56
2025-10-20,Diana Romero,Audífonos Bluetooth,2,775.5,1551.0
