Fecha,Cliente,Producto,Cantidad,PrecioUnitario,Total
2025-10-28,Lucía Torres,Disco SSD 500GB,3,61.48,184.44
2025-10-12,Carlos Pérez,Disco SSD 500GB,4,753.14,3012.56
2025-10-12,Diana Romero,Disco SSD 500GB,2,1300.86,2601.72
2025-10-07,Lucía Torres,Disco SSD 500GB,4,760.23,3040.92
2025-10-15,Lucía Torres,Disco SSD 500GB,1,633.91,633.91
2025-10-18,Jorge Sánchez,Disco SSD 500GB,4,843.12,3372.48
2025-10-27,Jorge Sánchez,Disco SSD 500GB,3,696.04,2088.12
2025-10-09,Carlos Pérez,Disco SSD 500GB,3,888.21,2664.63
2025-10-16,Diana Romero,Disco SSD 500GB,4,369.05,1476.2
2025-10-17,Diana Romero,Disco SSD 500GB,1,1358.66,1358.66
2025-10-24,Pedro Díaz,Disco SSD 500GB,1,237.72,237.72
2025-10-18,Lucía Torres,Disco SSD 500GB,2,1437.75,2875.5
2025-10-20,Diana Romero,Disco SSD 500GB,4,588.41,2353.64
