Fecha,Cliente,Producto,Cantidad,PrecioUnitario,Total
2025-10-30,Jorge Sánchez,Impresora,1,475.15,475.15
2025-10-01,Luis Hernández,Impresora,1,850.36,850.36
2025-10-04,María López,Impresora,1,1264.83,1264.83
2025-10-01,Diana Romero,Impresora,1,599.79,599.79
2025-10-12,Carlos Pérez,Impresora,4,1215.52,4862.08
2025-10-23,Jorge Sánchez,Impresora,1,1268.56,1268.56
2025-10-23,Jorge Sánchez,Impresora,3,292.36,877.08
2025-10-19,Diana Romero,Impresora,4,922.34,3689.36
2025-10-20,Luis Hernández,Impresora,1,737.38,737.38
2025-10-04,Lucía Torres,Impresora,1,132.52,132.52
2025-10-22,Diana Romero,Impresora,5,248.54,1242.7
