Fecha,Cliente,Producto,Cantidad,PrecioUnitario,Total
2025-10-14,Carlos Pérez,Laptop,1,1290.99,1290.99
2025-10-09,Luis Hernández,Laptop,4,445.06,1780.24
2025-10-04,Diana Romero,Laptop,4,1216.92,4867.68
2025-10-11,Jorge Sánchez,Laptop,4,1266.29,5065.16
2025-10-12,Diana Romero,Laptop,3,137.04,411.12
2025-10-03,Ana Gómez,Laptop,1,1224.24,1224.24
2025-10-11,Carlos Pérez,Laptop,1,457.93,457.93
2025-10-21,Luis Hernández,Laptop,3,108.0,324.0
2025-10-05,Diana Romero,Laptop,1,1323.74,1323.74
2025-10-12,Luis Hernández,Laptop,5,111.22,556.1
2025-10-30,Diana Romero,Laptop,4,738.73,2954.92
2025-10-22,Jorge Sánchez,Laptop,1,786.41,786.41
2025-10-15,Lucía Torres,Laptop,1,1326.51,1326.51
2025-10-12,Lucía Torres,Laptop,5,1432.18,7160.9
2025-10-15,Jorge Sánchez,Laptop,1,363.09,363.09
