Fecha,Cliente,Producto,Cantidad,PrecioUnitario,Total
2025-10-12,María López,"Monitor 24""",4,427.29,1709.16
2025-10-26,Diana Romero,"Monitor 24""",1,1210.07,1210.07
2025-10-22,Diana Romero,"Monitor 24""",5,761.29,3806.45
2025-10-31,Jorge Sánchez,"Monitor 24""",5,730.91,3654.55
2025-10-30,María López,"Monitor 24""",2,431.01,862.02
2025-10-17,Carlos Pérez,"Monitor 24""",4,1480.74,5922.96
2025-10-28,Diana Romero,"Monitor 24""",3,1095.03,3285.09
2025-10-06,Diana Romero,"Monitor 24""",4,903.6,3614.4
2025-10-13,Diana Romero,"Monitor 24""",3,22.16,66.48
2025-10-26,Ana Gómez,"Monitor 24""",3,921.72,2765.16
2025-10-20,Jorge Sánchez,"Monitor 24""",4,1437.08,5748.32
2025-10-02,Carlos Pérez,"Monitor 24""",2,624.61,1249.22
2025-10-16,Pedro Díaz,"Monitor 24""",1,421.6,421.6
