Fecha,Cliente,Producto,Cantidad,PrecioUnitario,Total
2025-10-30,María López,Mouse inalámbrico,3,336.58,1009.74
2025-10-27,Ana Gómez,Mouse inalámbrico,2,1317.72,2635.44
2025-10-29,Jorge Sánchez,Mouse inalámbrico,3,1209.36,3628.08
2025-10-12,Diana Romero,Mouse inalámbrico,3,490.08,1470.24
2025-10-11,Carlos Pérez,Mouse inalámbrico,3,217.26,651.78
2025-10-08,Diana Romero,Mouse inalámbrico,3,1000.69,3002.07
2025-10-21,Luis Hernández,Mouse inalámbrico,3,61.38,184.14
2025-10-07,Pedro Díaz,Mouse inalámbrico,1,708.31,708.31
2025-10-02,María López,Mouse inalámbrico,4,285.36,1141.44
2025-10-21,Lucía Torres,Mouse inalámbrico,4,482.0,1928.0
2025-10-23,Lucía Torres,Mouse inalámbrico,3,599.63,1798.89
2025-10-24,Pedro Díaz,Mouse inalámbrico,1,1343.28,1343.28
2025-10-14,Luis Hernández,Mouse inalámbrico,1,246.35,246.35
2025-10-20,Carlos Pérez,Mouse inalámbrico,1,698.28,698.28
2025-10-05,Luis Hernández,Mouse inalámbrico,1,949.52,949.52
