Fecha,Cliente,Producto,Cantidad,PrecioUnitario,Total
2025-10-12,Ana Gómez,Teclado mecánico,3,965.85,2897.55
2025-10-08,Diana Romero,Teclado mecánico,1,880.79,880.79
2025-10-02,Lucía Torres,Teclado mecánico,3,77.61,232.83
2025-10-13,Ana Gómez,Teclado mecánico,3,339.95,1019.85
2025-10-14,Pedro Díaz,Teclado mecánico,4,1312.38,5249.52
2025-10-23,Luis Hernández,Teclado mecánico,4,386.81,1547.24
2025-10-13,Lucía Torres,Teclado mecánico,4,36.59,146.36
2025-10-06,Carlos Pérez,Teclado mecánico,3,847.97,2543.91
2025-10-12,Carlos Pérez,Teclado mecánico,2,141.58,283.16
2025-10-17,Carlos Pérez,Teclado mecánico,5,868.87,4344.35
2025-10-07,Lucía Torres,Teclado mecánico,3,1247.15,3741.45
2025-10-14,Luis Hernández,Teclado mecánico,3,717.99,2153.97
2025-10-05,Diana Romero,Teclado mecánico,3,391.8,1175.4
2025-10-22,Carlos Pérez,Teclado mecánico,4,648.07,2592.28
